Details for Sum of price - terms: jackets,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Product ID,Product Position,Promotion,Product Category,Seasonal,Sales Volume,brand,url,name,description,price,currency,terms,section,season,material,origin
110075,Front of Store,No,clothing,Yes,864,Zara,https://www.zara.com/us/en/wool-blend-felt-texture-jacket-p04160752.html,WOOL BLEND FELT TEXTURE JACKET,Cropped jacket made with wool blend fabric. Lapel collar and long sleeves. Welt pockets at hip. Front hidden button closure.,19.99,USD,jackets,WOMAN,Autumn,Wool Blend,Portugal
110295,End-cap,Yes,clothing,No,1312,Zara,https://www.zara.com/us/en/hooded-denim-jacket-p01538428.html,HOODED DENIM JACKET,Boxy fit jacket. High collar with adjustable hood and long sleeves with buttoned cuffs. Patch pockets with flaps at chest. Front straps with multi-functional ring. Washed effect. Front hidden zip and snap button closure.,69.99,USD,jackets,WOMAN,Autumn,Cotton,India
219630,Aisle,No,clothing,No,892,Zara,https://www.zara.com/us/en/fine-knit-crop-sweater-p09598029.html,SLIM BASIC 100% WOOL SWEATER BURGUNDY,RETRO SNEAKERS,64.95,USD,jackets,WOMAN,Winter,Polyester,Spain
110805,Front of Store,Yes,clothing,Yes,1255,Zara,https://www.zara.com/us/en/faux-leather-oversized-jacket-limited-edition-p07380310.html,FAUX LEATHER OVERSIZED JACKET LIMITED EDITION,Oversized jacket. Notched lapel collar and long sleeves. Flap pockets at hip and interior pocket. Front button closure.,21.99,USD,jackets,MAN,Autumn,Viscose,China
111521,Front of Store,Yes,clothing,Yes,1275,Zara,https://www.zara.com/us/en/washed-technical-jacket-p04695300.html,WASHED TECHNICAL JACKET,Jacket made of technical fabric. High collar and long sleeves with adjustable cuffs with snap button straps. Flap patch pockets at hip. Adjustable drawstring hem. Washed effect. Front zip hidden by a snap button flap.,16.95,USD,jackets,MAN,Autumn,Cotton,Bangladesh
111760,End-cap,No,clothing,No,876,Zara,https://www.zara.com/us/en/technical-jacket-with-pockets-p03286501.html,TECHNICAL JACKET WITH POCKETS,Jacket made of technical fabric with quilted interior. Lapel collar and long sleeves. Flap patch pockets at hip. Rib trim. Front button closure.,22.99,USD,jackets,MAN,Spring,Wool Blend,Argentina
219628,Aisle,No,clothing,No,872,Zara,https://www.zara.com/us/en/fleece-overshirt-p01248320.html,SATIN WOVEN LEATHER SLIDES STONE,Slim fit shirt. Round neck and short sleeves.,49.99,USD,jackets,WOMAN,Spring,Linen,China
219626,End-cap,No,clothing,No,1012,Zara,https://www.zara.com/us/en/washed-effect-bomber-jacket-p08281307.html,TEXTURED SUEDE FISHERMAN SANDALS BROWN,Sneakers. Upper in a combination of pieces and textures. Shoelaces with six pairs of eyelets at different heights. Chunky irregular design soles. Retro-inspired design.,48.99,USD,jackets,WOMAN,Summer,Cotton,China
112194,Aisle,Yes,clothing,Yes,1468,Zara,https://www.zara.com/us/en/v-neck-knit-sweater-p03519001.html,STRETCH POCKET OVERSHIRT,Varsity jacket made of faux suede fabric. Double welt pockets at hip and interior pocket. Front and back contrasting patch appliqués and embroidery. Rib trim. Front snap button closure.,33.99,USD,jackets,WOMAN,Spring,Linen Blend,Bangladesh
112917,Aisle,Yes,clothing,No,1348,Zara,https://www.zara.com/us/en/stretch-suit-jacket-p01564300.html,STRETCH SUIT JACKET,Slim fit jacket made of viscose blend fabric. Notched lapel collar. Long sleeves with buttoned cuffs. Welt pocket at chest and flap pockets at hip. Interior pocket. Back vents. Front button closure.,30.99,USD,jackets,MAN,Spring,Polyester,China
113143,Aisle,Yes,clothing,Yes,1696,Zara,https://www.zara.com/us/en/herringbone-textured-jacket-p08491401.html,HERRINGBONE TEXTURED JACKET,Jacket made of wool blend fabric. Lapel collar and long sleeves. Welt pockets at hip. Front zip closure.,22.99,USD,jackets,WOMAN,Winter,Wool,China
113435,Aisle,No,clothing,Yes,710,Zara,https://www.zara.com/us/en/foil-knit-crop-sweater-p06771001.html,RIB COLLAR JACKET,Overshirt made of stretchy fabric. Lapel collar and long sleeves with snap buttoned cuffs. Chest patch pockets. Front snap button closure.,79.99,USD,jackets,WOMAN,Spring,Linen,India
219625,Front of Store,No,clothing,No,926,Zara,https://www.zara.com/us/en/contrasting-patches-hooded-jacket-p03833400.html,EMBROIDERED COTTON - LINEN BLEND JACKET OLIVE,Ribbed sweater with round neck and long sleeves. Ripped hem.,32.95,USD,jackets,MAN,Summer,Cotton,India
114877,Aisle,No,clothing,Yes,942,Zara,https://www.zara.com/us/en/suede-jacket-p02521102.html,SUEDE JACKET,Jacket made of suede. Cropped length. Lapel collar and long sleeves. Front hidden in-seam pockets. Front zip closure.,39.99,USD,jackets,WOMAN,Spring,Polyester,Vietnam
219623,End-cap,Yes,clothing,Yes,1276,Zara,https://www.zara.com/us/en/retro-high-top-sneakers-p12180220.html,OVERSIZED POCKET PUFFER JACKET STONE,High-top sneakers. Upper in a combination of pieces. Laces with ten pairs of eyelets. Chunky sole.,72.99,USD,jackets,MAN,Winter,Wool,Vietnam
219622,Aisle,No,clothing,No,854,Zara,https://www.zara.com/us/en/faux-suede-jacket-p08281652.html,HIGH-WAIST KNIT V-NECK SWEATER SKY BLUE,Jacket made of faux leather fabric. Rib elastic collar and long sleeves. Zip pockets with flaps at hip. Interior pocket. Elastic hem. Front zip closure.,22.95,USD,jackets,WOMAN,Autumn,Wool Blend,Bangladesh
219621,Aisle,No,clothing,No,735,Zara,https://www.zara.com/us/en/wool-and-cashmere-blend-rib-sweater-p02893054.html,CROPPED CHUNKY SNEAKERS,Varsity jacket made of faux suede fabric. Lapel collar and long sleeves. Double welt pockets at hip and interior pocket. Front contrasting patch appliqués and embroidery. Rib trim. Front snap button closure.,19,USD,jackets,MAN,Autumn,Viscose,Cambodia
116228,End-cap,No,clothing,No,880,Zara,https://www.zara.com/us/en/textured-pocket-jacket-p03918500.html,TEXTURED POCKET JACKET,Jacket with lightly padded interior. Lapel collar and long sleeves with buttoned cuffs. Flap pockets at chest and welt pockets at hip. Front button closure.,74.99,USD,jackets,WOMAN,Winter,Polyester,India
117065,Aisle,No,clothing,No,919,Zara,https://www.zara.com/us/en/cotton---linen-blend-jacket-p00706103.html,COTTON - LINEN BLEND JACKET,Jacket made of cotton and linen blend fabric. Lapel collar and long sleeves with buttoned cuffs. Patch pocket at chest and side pockets at hip. Elastic hem. Front zip closure.,49.95,USD,jackets,WOMAN,Spring,Cotton,China
117590,End-cap,Yes,clothing,Yes,1282,Zara,https://www.zara.com/us/en/contrasting-collar-jacket-p06987331.html,CONTRASTING COLLAR JACKET,Relaxed fit jacket. Contrasting lapel collar and long sleeves with buttoned cuffs. Front pouch pockets. Interior pocket. Washed effect. Front zip closure.,25.95,USD,jackets,WOMAN,Autumn,Cotton,Turkey
117725,Aisle,Yes,clothing,No,1323,Zara,https://www.zara.com/us/en/contrasting-patches-hooded-jacket-p03833400.html,CONTRASTING PATCHES HOODED JACKET,Varsity jacket with stretchy collar and contrasting hood. Long sleeves. Welt pockets at hip and interior pocket. Embroidered appliqué and contrast front and back patches. Rib trim. Front snap button closure.,35.99,USD,jackets,WOMAN,Spring,Cotton,China
117751,Aisle,No,clothing,Yes,784,Zara,https://www.zara.com/us/en/contrast-jacquard-jacket-p04087423.html,CONTRAST JACQUARD JACKET,Full cut jacket with lapel collar and long sleeves. Front button closure.,15,USD,jackets,MAN,Spring,Viscose,Turkey
219620,End-cap,Yes,clothing,Yes,1590,Zara,https://www.zara.com/us/en/washed-technical-jacket-p04695300.html,REGULAR FAUX SHEARLING LINED SUEDE BOOTS ECRU,Lapel collar jacket with long sleeves with buttoned cuffs. Flap pockets at chest and welt pockets at hip. Front button closure.,17,USD,jackets,WOMAN,Autumn,Polyester,Bangladesh
219618,Front of Store,Yes,clothing,Yes,1566,Zara,https://www.zara.com/us/en/cropped-bomber-jacket-limited-edition-p08281600.html,HIGH-WAIST BASIC HEAVYWEIGHT T-SHIRT GREY,Sweater made with 63% alpaca. Round neck and long sleeves.,24.99,USD,jackets,WOMAN,Summer,Cotton,China
